,review_code,place_code,ItemID,UserID,review,Rating,Timestamp
0,GJ000001,STORE_GJ00001,광고최원석의돼지한판 광장점,ngfsvv,"점심때 갔는데 프런트에 직원도 없고 손님응대도 별로임, 불친절한 느낌 맛은 있어요",3,2021.08.01.
1,GJ000002,STORE_GJ00001,광고최원석의돼지한판 광장점,8ugcmg,삼겹살 먹었는데 넘 맛있었구요. 사장님과 직원분들 모두 넘넘 친절하셔서 좋았어요. 밑반찬도 짱맛!!! 다음에 가족이랑 다시 갈게요!!,5,2021.07.01.
2,GJ000003,STORE_GJ00001,광고최원석의돼지한판 광장점,murh1q,오...존맛탱... 돼지고기에서 이런 맛이 나네요 숙성돼지고기 많이 먹어봤지만 여긴 찐이네용 그리고 된장찌개 존맛탱이에요 두 번 추가해서 먹었어요ㅋㅋㅋㅋㅋ,5,2021.07.01.
3,GJ000004,STORE_GJ00001,광고최원석의돼지한판 광장점,qo13dj,좋아요 여기,5,2021.05.18.
4,GJ000005,STORE_GJ00001,광고최원석의돼지한판 광장점,k5p9pr,맛있고 친절함,5,2021.05.08.
5,GJ000006,STORE_GJ00001,광고최원석의돼지한판 광장점,1742btr,맛있네요 직원분들도 정말 친절하시고,5,2021.03.12.
6,GJ000007,STORE_GJ00001,광고최원석의돼지한판 광장점,bff9o9,"여기가 이 동네 왕이다. 일단 상차림이 미쳤다. 거기다 고기도 진짜 좋다. 직원, 사장님도 친절.. 체인점이라고는 쳐도 진짜 여기가 이 동네 고기 왕이다. ",5,2021.03.11.
7,GJ000008,STORE_GJ00001,광고최원석의돼지한판 광장점,ls9kmq,맛도 고기질도 좋아요~ 두툼한 고깃살!! 배불리 먹고 왔습니다~ 친구들도 만족해하니 제 마음도 뿌듯합니다~ 또 들르겠습니다!!,5,2021.03.11.
8,GJ000009,STORE_GJ00001,광고최원석의돼지한판 광장점,7nr9c2,정말 두꺼운 돼지고기,5,2020.10.11.
9,GJ000010,STORE_GJ00001,광고최원석의돼지한판 광장점,cibcmr,고기도 신선하고 사장님도 종업원분들도 친절하세요 재방문 하고 싶네요,5,2020.08.02.
10,GJ000011,STORE_GJ00001,광고최원석의돼지한판 광장점,doso6i,"여기 사이드부터 고기 너무맛있어오ㅠㅠㅠ 묵사발이랑 감자샐러드도 맛있고 고기 구워주시는데 너무 친절하시고 진짜너무맛있어오ㅠㅠ 집근처였으면 단골 할듯,,,",5,2020.04.05.
11,GJ000012,STORE_GJ00001,광고최원석의돼지한판 광장점,16376pl,직원들이 다 너무 친절하셔서 기분좋게 식사하고갔어요오!!!  꼭한번 다들 먹어보세여~~!! 맛도 최고입니다 ㅎㅎ,5,2020.02.08.
12,GJ000013,STORE_GJ00001,광고최원석의돼지한판 광장점,10gpenq,NaN,5,2019.12.30.
13,GJ000014,STORE_GJ00001,광고최원석의돼지한판 광장점,toj5ba,삼겹살이랑 삼겹살볶음밥이랑 쭈꾸미만두 먹었어요 만두는 그냥그냥.. 고기 싸먹을 양념이랑 재료가 엄청 많고 너무너무 맛있음 ㅠ 직원도 친절하고 일 너무 잘하심 고기도 다 구워주세요 된찌도 존맛탱 강추 단골할거에요,5,2019.12.09.
14,GJ000015,STORE_GJ00001,광고최원석의돼지한판 광장점,c8fo0s,정상적인 식당이 아님.,1,2019.09.13.
