,review_code,place_code,ItemID,UserID,review,Rating,Timestamp
0,SB000001,STORE_SB00001,성북동메밀수제비누룽지백숙,te9a7m,너무비싸,2,2021.08.08.
1,SB000002,STORE_SB00001,성북동메밀수제비누룽지백숙,7kup8e,맛은 좋으나 기다림이 문제,3,2021.07.14.
2,SB000003,STORE_SB00001,성북동메밀수제비누룽지백숙,fkfake,NaN,3,2021.06.26.
3,SB000004,STORE_SB00001,성북동메밀수제비누룽지백숙,g8k5fl,들깨수제비까지 욕심부리면 배터집니다. 백숙과 메일전이면 충분 남은 음식 포장 가능,4,2021.06.20.
4,SB000005,STORE_SB00001,성북동메밀수제비누룽지백숙,n5mvk0,굿 애프터하이크 푸드,4,2021.05.23.
5,SB000006,STORE_SB00001,성북동메밀수제비누룽지백숙,1dtoiih,좋아 함. 그래서 자주 감. 근데 닭보다 누룽지가 훨 맛있음. 누룽지를 먹기 위해 닭백숙을 시켜야 하는 슬픈 현실. 영양센터처럼 살코기 조금 넣고 누룽지죽 메뉴만도 좀 파세요. 1인분에 16천까지 먹을 의향 있음.,4,2021.05.13.
6,SB000007,STORE_SB00001,성북동메밀수제비누룽지백숙,csgujd,누룽지 백숙이 부드럽고 김치와 동치미 맛도 좋음  식사 후 리홀 뮤직 갤러리에서 음악 들으며 차 한잔 하는 것이 이집의 풀코스,4,2021.04.17.
7,SB000008,STORE_SB00001,성북동메밀수제비누룽지백숙,epdjq1,"가야는이유 : 쫄깃한 백숙, 구수한 누룽지, 상당한 양 안가는이유 : 어짜피 포장은 하겠지만  오래 삶는지 고기가 쫄깃하고 담백하지만 껍질 싫어하는 사람에겐 더 싫을듯, 죽은 굉장히 걸쭉하고 누룽지 구수해서 좋음, 누룽지 양이 많아서 4인분이라고 하는게 맞을듯, 메밀전은 자리 셋팅되는대로 먼저 나와서 기다리는 동안 먹을 수 있어 좋고 맛도 괜찮 일요일 2시...",3,2021.04.11.
8,SB000009,STORE_SB00001,성북동메밀수제비누룽지백숙,13fhoi5,김치 재사용 하시나봐요. 김치에서 물티슈 비닐 나왔습니다.(저희에겐 물티슈를 주지 않으셨습니다) 확인 하시더니 비닐을 게눈 감추듯 후다닥 처리 하시더라구요. 맛있게 먹다 얼마나 열이 받던지. 아오 사진찍어 놓을걸 또 열받네. ,1,2021.02.24.
9,SB000010,STORE_SB00001,성북동메밀수제비누룽지백숙,gkfek8,맛이 변한건가요? 아래는 다들 알바인가?? 아무맛이 없는데??!! 내가 그냥 삶아도 이것보단 맛있을듯. ,1,2021.01.29.
10,SB000011,STORE_SB00001,성북동메밀수제비누룽지백숙,m1ipeq,NaN,4,2020.12.25.
11,SB000012,STORE_SB00001,성북동메밀수제비누룽지백숙,169shgk,"영업시간 정보 잘못 되어 있네요,,, 9시 마감이고 8시 주문 마감,,, 부러 찾아가서 8시20분에 도착했는데 영업시간 찾아보고 온 거를 잘못 왔다고 되려 성을 내시길래 당황했네요,, 인터넷이 익숙치 않으시다고 이해해도 그럼 10분 안에 드시라고 성을 내는 태도는 찾아간 고객이 을인가봐요,,, 10분 안에 드시라면서 메밀전은 안 시키냐고,,,^^;",1,2020.10.31.
12,SB000013,STORE_SB00001,성북동메밀수제비누룽지백숙,13fa9c4,맛은 있는데 일부러 찾아갈정도는 아닌것같아요 찬 리필 잘되고 친절하세요,3,2020.10.11.
13,SB000014,STORE_SB00001,성북동메밀수제비누룽지백숙,1blv2pc,NaN,5,2020.09.01.
14,SB000015,STORE_SB00001,성북동메밀수제비누룽지백숙,14hn8i9,"불친절하다는 댓글이 많아서 서비스는 기대하지 않고 갔는데, 친절하게 응대해 주시고 반찬 리필도 잘 해주시네요. 개인적으로는 백숙도 맛있지만 수제비도 맛있습니다. 국물이 너무 좋습니다. ",5,2020.08.01.
15,SB000016,STORE_SB00001,성북동메밀수제비누룽지백숙,n1ce84,여러명이 가서 먹으면 좋음,5,2020.07.22.
