,review_code,place_code,ItemID,UserID,review,Rating,Timestamp
0,JR000001,STORE_JR00001,초가네장어구이,12siqmf,둘이서 세트메뉴먹었는데 양이 많아서 배터지게 먹었네요!!가성비 갑 최고입니당!!,5,2021.08.16.
1,JR000002,STORE_JR00001,초가네장어구이,kbflc5,장어 맛이랑 양은 가격대비 너무너무 좋았습니다. 근데 밥이 너무 질었습니다. 그게 너무 아쉽네요,5,2021.06.14.
2,JR000003,STORE_JR00001,초가네장어구이,r20kp9,가성비좋고 맛나요 줄서서 먹는곳  자주 가는단골집,5,2021.05.26.
3,JR000004,STORE_JR00001,초가네장어구이,13nqjpt,,4,2021.04.27.
4,JR000005,STORE_JR00001,초가네장어구이,7svs3a,,5,2021.04.25.
5,JR000006,STORE_JR00001,초가네장어구이,1gb7ar7,좋아요,5,2021.04.20.
6,JR000007,STORE_JR00001,초가네장어구이,1gmjb2a,,5,2021.04.09.
7,JR000008,STORE_JR00001,초가네장어구이,11mlj3h,,4,2020.12.07.
8,JR000009,STORE_JR00001,초가네장어구이,13v1mdb,,1,2020.11.22.
9,JR000010,STORE_JR00001,초가네장어구이,1b39mor,여기는 꼭 세트를 드세요~~~호불호 안갈리는 곳! ㅎㅎ 항상 맛있게 먹구 친절하셔서 당근단골!!,5,2020.08.10.
10,JR000011,STORE_JR00001,초가네장어구이,1b2uv23,최근 한달간 4번넘게 들른거같네요. 그만큼 일하시는분들도 친절하시고 세트구성도 되게 좋아요!  이집만 갔다 나오면 각1병은 하는거같네요 맛있어요!,5,2020.08.09.
11,JR000012,STORE_JR00001,초가네장어구이,7t3hrp,"셋이서 세트메뉴로 취하고나옴.다만 문어,소라를 작업하시는것을 보면  워생장갑을 착용하심이.",4,2020.06.06.
12,JR000013,STORE_JR00001,초가네장어구이,10anh6m,가성비 좋은 장어구이집,5,2020.04.25.
