,store_code,ItemID,address,local,category
0,STORE_JR00001,초가네장어구이,서울 중랑구 면목로44길 12,(지번) 면목동 472-12,장어
1,STORE_JR00002,꿀삼겹 본점,서울 중랑구 면목로91길 45 1층,(지번) 상봉동 111-82,삼겹살
2,STORE_JR00003,용마해장국,서울 중랑구 용마공원로5길 8,(지번) 망우동 407-28,해장국
3,STORE_JR00004,쭈꾸미킹 상봉점,서울 중랑구 송림길 13,(지번) 상봉동 49-4,"해물,생선"
4,STORE_JR00005,울타리곱창,서울 중랑구 중랑역로 20,(지번) 중화동 298-21,"곱창,막창"
5,STORE_JR00006,소담촌 상봉점,서울 중랑구 망우로 328 시네마시티 15층 1501호,(지번) 상봉동 92-2,샤브샤브
6,STORE_JR00007,최민석마구로 묵동본점,서울 중랑구 동일로 939 2층,(지번) 묵동 234-52,참치회
7,STORE_JR00008,이주소곱창,서울 중랑구 봉우재로33길 34,(지번) 상봉2동 105-29,"곱창,막창"
8,STORE_JR00009,찜집 본점,서울 중랑구 면목로 287,(지번) 면목동 632-6,"해물,생선"
9,STORE_JR00010,파크더블유,서울 중랑구 양원역로16길 103-111,(지번) 망우동 43-8,카페
10,STORE_JR00011,이학갈비 면목점,서울 중랑구 면목로 310 2층,(지번) 면목동 617-2,갈비
11,STORE_JR00012,함평국밥,서울 중랑구 봉우재로33길 73 1층,(지번) 상봉동 90-64,국밥
12,STORE_JR00013,농부보쌈,서울 중랑구 용마산로 389 석주빌딩 지하1층,(지번) 면목동 50-46,"족발,보쌈"
13,STORE_JR00014,어글리스토브 상봉점,서울 중랑구 상봉로 131 듀오트리스 1층,(지번) 상봉동 501,양식
14,STORE_JR00015,마구로,서울 중랑구 망우로 270 2층,(지번) 상봉동 118,회
15,STORE_JR00016,묵동할머니떡볶이,서울 중랑구 공릉로12가길 14,(지번) 묵동 57-1,떡볶이
16,STORE_JR00017,쿠우쿠우 상봉점,서울 중랑구 망우로 316 이지펠리스 3층,(지번) 상봉동 101,해산물뷔페
17,STORE_JR00018,동해루,서울 중랑구 면목천로23길 44,(지번) 면목동 136-7,중화요리
18,STORE_JR00019,양지촌,서울 중랑구 망우로 184,(지번) 상봉동 136-10,갈비
19,STORE_JR00020,아웃백스테이크하우스 상봉점,서울 중랑구 망우로 293 삼성CNC프라자 2층,(지번) 상봉동 100-15,패밀리레스토랑
20,STORE_JR00021,연탄돼지갈비,서울 중랑구 봉우재로 159,(지번) 상봉동 85-36,갈비
21,STORE_JR00022,까망통돼지,서울 중랑구 면목로 488 2층,(지번) 상봉2동 102-89,"육류,고기"
22,STORE_JR00023,쪽갈비대통령 본점,서울 중랑구 동일로163길 46 1층,(지번) 묵동 237-138,갈비
23,STORE_JR00024,피에스타9 강북상봉점,서울 중랑구 망우로 353 상봉프레미어스엠코 이노시티C동 지하1층,(지번) 상봉동 500,뷔페
24,STORE_JR00025,맑은샘,서울 중랑구 용마산로99길 13,(지번) 망우동 530-1,분식
25,STORE_JR00026,홍이네떡볶이,서울 중랑구 망우로73길 26,(지번) 망우동 342-47,떡볶이
26,STORE_JR00027,캠프X그릴,서울 중랑구 동일로 929 2층,(지번) 묵동 238-90,"육류,고기"
27,STORE_JR00028,에헴,서울 중랑구 망우로48길 27-12,(지번) 상봉동 90-11,"호프,요리주점"
28,STORE_JR00029,천외천,서울 중랑구 봉우재로33길 12 1층,(지번) 상봉동 106-25,오리
29,STORE_JR00030,고기를품다 중화점,서울 중랑구 중랑역로 23 1층,(지번) 중화동 320-24,"육류,고기"
30,STORE_JR00031,통큰소무한리필 사가정점,서울 중랑구 면목로 352 1층,(지번) 면목동 458-1,"육류,고기"
31,STORE_JR00032,신선한우촌,서울 중랑구 용마산로 707,(지번) 신내동 352-3,"육류,고기"
32,STORE_JR00033,한참치 묵동본점,서울 중랑구 공릉로 32 공감대아파트 상가 1층,(지번) 묵동 171-4,참치회
33,STORE_JR00034,면목식탁,서울 중랑구 겸재로50길 41 1층,(지번) 면목동 72-46,이탈리안
34,STORE_JR00035,호반닭갈비막국수 중화본점,서울 중랑구 봉화산로 20 1층,(지번) 중화동 313-1,닭요리
35,STORE_JR00036,커피스터프,서울 중랑구 망우로42길 10,(지번) 상봉동 118-1,카페
36,STORE_JR00037,면동떡볶이,서울 중랑구 면목로57길 33,(지번) 면목동 552-4,떡볶이
37,STORE_JR00038,작은부엌,서울 중랑구 면목로 361,(지번) 면목동 501-4,이탈리안
38,STORE_JR00039,스시혼 신내점,서울 중랑구 신내로 50,(지번) 신내동 544-19,"초밥,롤"
39,STORE_JR00040,착한낙지 신내점,서울 중랑구 용마산로125길 108-19,(지번) 신내동 430-18,"해물,생선"
40,STORE_JR00041,강원도동강오리 본점,서울 중랑구 용마산로115길 10,(지번) 망우동 486-9,오리
41,STORE_JR00042,빙수야 망우직영점,서울 중랑구 용마산로116길 21 1층,(지번) 망우동 360-17,분식
42,STORE_JR00043,고기를품다 사가정직영점,서울 중랑구 면목로48길 17 1층,(지번) 면목동 458-86,"육류,고기"
43,STORE_JR00044,봉일천돼지부속,서울 중랑구 봉우재로33길 23,(지번) 상봉동 107-63,"육류,고기"
44,STORE_JR00045,왕십리불곱창,서울 중랑구 상봉로 102,(지번) 망우동 516-3,"곱창,막창"
45,STORE_JR00046,기와옥,서울 중랑구 용마산로129길 22 광남아파트 1층,(지번) 신내동 799,"불고기,두루치기"
46,STORE_JR00047,통큰소무한리필 상봉직영점,서울 중랑구 망우로 316 이지팰리스 2층,(지번) 상봉동 101,"육류,고기"
47,STORE_JR00048,청평매운탕,서울 중랑구 공릉로 46,(지번) 묵동 171-7,"매운탕,해물탕"
48,STORE_JR00049,팡도리노베이커리,서울 중랑구 용마산로115길 127 한일써너스빌리젠시1단지 상가 1005호,(지번) 망우동 479,"제과,베이커리"
49,STORE_JR00050,곤드레킹 신내점,서울 중랑구 용마산로129길 10 2층,(지번) 신내동 384-9,한정식
50,STORE_JR00051,미락한정식,서울 중랑구 봉우재로 27 1층,(지번) 면목동 182-112,한정식
51,STORE_JR00052,카페소고 망우점,서울 중랑구 신내로1길 15,(지번) 망우동 489-29,카페
52,STORE_JR00053,용마갈비,서울 중랑구 용마산로 498,(지번) 망우동 403-69,갈비
53,STORE_JR00054,디저트아카데미,서울 중랑구 망우로36길 38 102호,(지번) 상봉동 127-15,디저트카페
54,STORE_JR00055,개인공간,서울 중랑구 송림길 12 1층,(지번) 신내동 495-35,카페
55,STORE_JR00056,카페브릭,서울 중랑구 신내역로1길 127-11,(지번) 신내동 243-20,카페
56,STORE_JR00057,자주족발,서울 중랑구 겸재로 212 1층,(지번) 면목동 104-3,"족발,보쌈"
57,STORE_JR00058,여자만아구해물찜,서울 중랑구 동일로 685,(지번) 면목동 183-35,아구
58,STORE_JR00059,홍어천국,서울 중랑구 면목로 421,(지번) 면목동 126-6,"해물,생선"
59,STORE_JR00060,뱃놈과백정 사가정점,서울 중랑구 면목로 348,(지번) 면목동 458-28,"육류,고기"
60,STORE_JR00061,다시사랑받개,서울 중랑구 용마산로139나길 83,(지번) 신내동 273-20,카페
61,STORE_JR00062,노브랜드버거 중화점,"서울 중랑구 동일로 799 1, 2층",(지번) 중화동 305-42,패스트푸드
62,STORE_JR00063,향촌칼국수,서울 중랑구 면목로55길 10,(지번) 면목동 501-5,국수
63,STORE_JR00064,이층커피,서울 중랑구 동일로 805-1 2층,(지번) 중화동 305-20,카페
64,STORE_JR00065,라화쿵부 상봉점,서울 중랑구 망우로 304,(지번) 상봉동 101-10,중식
65,STORE_JR00066,장위동유성집 중랑점,서울 중랑구 동일로 823-1,(지번) 중화동 307-11,"육류,고기"
66,STORE_JR00067,먹고을전주콩나물국밥 묵동본점,서울 중랑구 중랑역로 268,(지번) 묵동 163-2,국밥
